Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell	gene_id
PB.2.166	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.167	0	0	1	0	0	4	3	0	gene-MuHV4gp19
PB.2.168	0	0	0	0	0	1	1	0	gene-MuHV4gp19
PB.2.169	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.17	0	0	2	0	0	1	0	1	gene-MuHV4gp04
PB.2.170	0	0	4	0	0	13	9	2	gene-MuHV4gp19
PB.2.171	0	0	1	0	0	0	4	0	gene-MuHV4gp19
PB.2.172	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.173	0	0	0	0	0	0	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.174	0	0	0	0	0	2	3	0	gene-MuHV4gp19
PB.2.175	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.176	0	0	2	0	0	5	1	0	gene-MuHV4gp19
PB.2.177	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.178	0	0	0	0	0	2	0	0	gene-MuHV4gp19
PB.2.179	0	0	7	0	0	16	9	5	gene-MuHV4gp19
PB.2.18	0	0	2	0	0	0	1	0	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.180	0	0	0	0	0	4	7	1	gene-MuHV4gp19
PB.2.181	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.182	0	0	0	0	0	2	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.183	0	0	0	0	0	0	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.184	0	0	2	0	0	1	1	1	gene-GAMMAHV.ORF57_gene-GAMMAHV.ORF56_gene-MuHV4gp19
PB.2.185	0	0	0	0	0	1	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.186	0	0	0	0	0	1	1	0	gene-MuHV4gp63_gene-MuHV4gp19
PB.2.187	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp19_gene-MuHV4gp23
PB.2.188	0	0	0	0	0	0	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.189	0	0	0	0	0	0	2	0	gene-MuHV4gp39_gene-GAMMAHV.ORF57_gene-GAMMAHV.ORF56_gene-MuHV4gp19
PB.2.19	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.190	0	0	1	0	0	1	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.191	0	0	1	0	0	0	1	0	gene-MuHV4gp19_gene-GAMMAHV.ORF37
PB.2.192	0	0	12	0	0	16	15	8	gene-MuHV4gp20
PB.2.193	0	0	1	0	0	2	1	0	gene-MuHV4gp63_gene-MuHV4gp19
PB.2.194	0	0	1	0	0	0	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp19_gene-MuHV4gp23
PB.2.195	0	0	0	0	0	2	0	0	gene-MuHV4gp63_gene-MuHV4gp19
PB.2.196	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-GAMMAHV.ORF57_gene-MuHV4gp19
PB.2.197	0	0	0	0	0	2	0	0	gene-MuHV4gp20_gene-GAMMAHV.ORF57_gene-MuHV4gp19
PB.2.198	0	0	2	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.199	0	0	1	0	0	1	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.2	0	0	0	0	0	3	0	0	gene-GAMMAHV.ORF6
PB.2.20	0	0	0	0	0	2	1	2	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.200	0	0	0	0	0	2	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.201	0	0	2	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.202	0	0	0	0	0	2	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.203	0	0	0	0	0	2	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.204	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.205	0	0	0	0	0	2	4	4	gene-MuHV4gp20
PB.2.206	0	0	0	0	0	1	5	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.207	0	0	0	0	0	3	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.208	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.209	0	0	1	0	0	2	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.21	0	0	1875	0	0	2122	2521	1444	gene-GAMMAHV.ORF6
PB.2.210	0	0	0	0	0	2	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.211	0	0	0	0	0	2	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.212	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.213	0	0	0	0	0	0	1	2	gene-MuHV4gp19
PB.2.214	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.215	0	0	1	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.216	0	0	0	0	0	0	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.217	0	0	1	0	0	0	1	0	gene-MuHV4gp19_gene-MuHV4gp68
PB.2.218	0	0	0	0	0	1	2	0	gene-MuHV4gp19
PB.2.219	0	0	2	0	0	0	3	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.22	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF6
PB.2.220	0	0	0	0	0	1	1	0	gene-MuHV4gp19
PB.2.221	0	0	0	0	0	2	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.222	0	0	1	0	0	0	0	1	gene-MuHV4gp19
PB.2.223	0	0	2	0	0	0	0	0	gene-MuHV4gp19_gene-GAMMAHV.ORF68_gene-MuHV4gp68
PB.2.224	0	0	2	0	0	0	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.225	0	0	2	0	0	1	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.226	0	0	2	0	0	0	0	0	gene-MuHV4gp39_gene-MuHV4gp19
PB.2.227	0	0	1	0	0	0	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.228	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.229	0	0	0	0	0	2	0	0	gene-MuHV4gp39_gene-MuHV4gp19
PB.2.23	0	0	33	0	0	11	7	8	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.230	0	0	1	0	0	1	0	0	gene-MuHV4gp19_gene-MuHV4gp63
PB.2.231	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.232	0	0	2	0	0	0	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.233	0	0	1	0	0	0	1	1	gene-MuHV4gp39_gene-MuHV4gp19
PB.2.234	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.235	0	0	0	0	0	0	2	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.236	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.237	0	0	0	0	0	0	1	2	gene-GAMMAHV.ORF57_gene-MuHV4gp19
PB.2.238	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.239	0	0	2	0	0	0	1	0	gene-MuHV4gp19
PB.2.24	0	0	0	0	0	0	1	2	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.240	0	0	1	0	0	3	1	0	gene-MuHV4gp19
PB.2.241	0	0	2	0	0	1	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.242	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.243	0	0	0	0	0	0	0	2	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.244	0	0	1	0	0	0	0	2	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.245	0	0	2	0	0	0	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.246	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.247	0	0	0	0	0	1	2	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.248	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.249	0	0	0	0	0	2	1	0	gene-MuHV4gp19
PB.2.25	0	0	2	0	0	0	2	1	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.250	0	0	0	0	0	0	0	2	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.251	0	0	1	0	0	2	0	0	gene-GAMMAHV.ORF57_gene-MuHV4gp19
PB.2.252	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.253	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF57_gene-GAMMAHV.ORF56_gene-MuHV4gp19
PB.2.254	0	0	0	0	0	1	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.255	0	0	0	0	0	0	2	0	gene-MuHV4gp20_gene-MuHV4gp19_gene-GAMMAHV.ORF37
PB.2.256	0	0	0	0	0	1	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.257	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.258	0	0	13675	0	0	20075	21075	8884	gene-MuHV4gp23
PB.2.259	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.26	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.260	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.261	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.262	0	0	0	0	0	3	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.263	0	0	1	0	0	0	0	1	gene-MuHV4gp20
PB.2.264	0	0	919	0	0	1304	1094	823	gene-MuHV4gp23
PB.2.265	0	0	243	0	0	256	235	247	gene-MuHV4gp23
PB.2.266	0	0	198	0	0	214	273	52	gene-MuHV4gp23
PB.2.267	0	0	1	0	0	0	1	0	novelGene_gene-MuHV4gp21_AS_novelGene_gene-GAMMAHV.ORF24_AS
PB.2.268	0	0	1	0	0	2	0	0	gene-MuHV4gp39
PB.2.269	0	0	0	0	0	3	0	1	gene-GAMMAHV.ORF27_gene-MuHV4gp23
PB.2.27	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.270	0	0	0	0	0	2	1	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.271	0	0	0	0	0	1	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.272	0	0	0	0	0	2	1	0	gene-GAMMAHV.ORF32_gene-MuHV4gp23
PB.2.273	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF50_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.274	0	0	0	0	0	0	1	2	gene-MuHV4gp23
PB.2.275	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.276	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.277	0	0	0	0	0	1	1	0	gene-MuHV4gp63_gene-MuHV4gp23
PB.2.278	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF27_gene-MuHV4gp23
PB.2.279	0	0	1	0	0	1	1	0	gene-MuHV4gp23
PB.2.28	0	0	19	0	0	22	16	10	gene-GAMMAHV.ORF6
PB.2.280	0	0	1	0	0	2	2	1	gene-GAMMAHV.ORF32_gene-MuHV4gp23
PB.2.281	0	0	1	0	0	1	0	0	gene-MuHV4gp63_gene-MuHV4gp23
PB.2.282	0	0	1	0	0	1	0	0	gene-MuHV4gp23_gene-MuHV4gp68
PB.2.283	0	0	52	0	0	60	71	27	gene-MuHV4gp23
PB.2.284	0	0	17	0	0	16	23	9	gene-MuHV4gp23
PB.2.285	0	0	0	0	0	1	1	0	gene-MuHV4gp23
PB.2.286	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.287	0	0	1	0	0	4	3	1	gene-MuHV4gp23
PB.2.288	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.289	0	0	3	0	0	1	0	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.29	0	0	2	0	0	0	0	2	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.290	0	0	0	0	0	0	2	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.291	0	0	1	0	0	1	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.292	0	0	0	0	0	2	2	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.293	0	0	0	0	0	0	1	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.294	0	0	135	0	0	225	213	106	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.295	0	0	3	0	0	1	1	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.296	0	0	0	0	0	0	2	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.297	0	0	0	0	0	2	1	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.298	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.299	0	0	1	0	0	0	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.3	0	0	1	0	0	2	2	1	gene-MuHV4gp04_gene-GAMMAHV.ORF6
PB.2.30	0	0	2	0	0	3	3	1	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF6
PB.2.300	0	0	1	0	0	1	1	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.301	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.302	0	0	0	0	0	1	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.303	0	0	0	0	0	2	3	3	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.304	0	0	2	0	0	1	1	2	gene-MuHV4gp23
PB.2.305	0	0	3	0	0	11	9	8	gene-MuHV4gp23
PB.2.306	0	0	3	0	0	8	10	4	gene-MuHV4gp23
PB.2.307	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.308	0	0	0	0	0	0	2	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.309	0	0	1	0	0	0	2	0	gene-MuHV4gp39_gene-MuHV4gp23
PB.2.31	0	0	0	0	0	1	1	3	gene-GAMMAHV.ORF4_gene-GAMMAHV.ORF68_gene-MuHV4gp68
PB.2.310	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.311	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.312	0	0	0	0	0	1	2	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.313	0	0	2	0	0	0	0	0	gene-MuHV4gp23_gene-GAMMAHV.ORF37
PB.2.314	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF57_gene-MuHV4gp23
PB.2.315	0	0	0	0	0	0	1	1	gene-MuHV4gp23
PB.2.316	0	0	1	0	0	0	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.317	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.318	0	0	1	0	0	2	3	8	gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.319	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF63_gene-MuHV4gp23
PB.2.32	0	0	5	0	0	2	3	0	gene-GAMMAHV.ORF4
PB.2.320	0	0	1	0	0	1	0	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.321	0	0	2	0	0	1	1	1	gene-MuHV4gp23
PB.2.322	0	0	1	0	0	0	0	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.323	0	0	0	0	0	1	0	1	gene-MuHV4gp39_gene-MuHV4gp23
PB.2.324	0	0	3	0	0	2	5	3	gene-MuHV4gp23
PB.2.325	0	0	30	0	0	15	21	27	gene-MuHV4gp23
PB.2.326	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF33_gene-MuHV4gp23
PB.2.327	0	0	95	0	0	139	122	68	gene-MuHV4gp23
PB.2.328	0	0	0	0	0	1	0	1	gene-MuHV4gp63_gene-MuHV4gp23
PB.2.329	0	0	1	0	0	0	1	0	gene-MuHV4gp23
PB.2.33	0	0	0	0	0	2	0	0	gene-MuHV4gp63_gene-GAMMAHV.ORF6
PB.2.330	0	0	3	0	0	0	1	1	gene-GAMMAHV.ORF57_gene-MuHV4gp23
PB.2.331	0	0	0	0	0	0	2	0	gene-MuHV4gp42_gene-MuHV4gp23
PB.2.332	0	0	65	0	0	65	72	32	gene-MuHV4gp23
PB.2.333	0	0	1	0	0	0	1	0	gene-MuHV4gp23
PB.2.334	0	0	2	0	0	7	2	0	gene-MuHV4gp23
PB.2.335	0	0	0	0	0	0	1	1	gene-MuHV4gp23_gene-GAMMAHV.ORF37
PB.2.336	0	0	2	0	0	0	1	0	gene-MuHV4gp23
PB.2.337	0	0	1673	0	0	1945	2018	802	gene-MuHV4gp23
PB.2.338	0	0	0	0	0	0	2	0	gene-MuHV4gp39_gene-MuHV4gp23
PB.2.339	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF26_gene-MuHV4gp42_gene-MuHV4gp23
PB.2.34	0	0	1	0	0	2	0	0	gene-GAMMAHV.ORF6
PB.2.340	0	0	1	0	0	1	1	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.341	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.342	0	0	0	0	0	2	3	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.343	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.344	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.345	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.346	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.347	0	0	0	0	0	1	1	0	gene-MuHV4gp63_gene-MuHV4gp23
PB.2.348	0	0	2	0	0	1	0	2	gene-MuHV4gp23
PB.2.349	0	0	2	0	0	2	1	2	gene-GAMMAHV.ORF27_gene-MuHV4gp23
PB.2.35	0	0	0	0	0	2	1	0	gene-GAMMAHV.ORF6
PB.2.350	0	0	1	0	0	0	0	2	gene-MuHV4gp23
PB.2.351	0	0	0	0	0	2	0	0	gene-GAMMAHV.ORF27_gene-GAMMAHV.ORF26_gene-MuHV4gp23
PB.2.352	0	0	0	0	0	0	1	1	gene-GAMMAHV.ORF57_gene-GAMMAHV.ORF56_gene-MuHV4gp23
PB.2.353	0	0	0	0	0	0	0	2	gene-MuHV4gp23_gene-GAMMAHV.ORF37
PB.2.354	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF57_gene-GAMMAHV.ORF56_gene-MuHV4gp23
PB.2.355	0	0	0	0	0	0	0	2	gene-MuHV4gp23
